Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
1;41;5;4;52;30;33
2;9;39;37;49;43;41
3;36;30;10;11;29;47
;;;;;;
4;6;59;42;27;1;5
5;1;19;46;6;16;2
6;19;40;7;13;22;47
7;56;38;21;20;3;5
8;53;17;38;4;47;37
9;55;43;56;54;8;60
10;25;4;18;57;21;38
11;25;15;58;37;59;38
12;20;27;43;16;19;4
13;47;32;50;54;18;56
14;16;2;27;47;23;53
15;60;12;33;52;35;51
16;60;58;49;32;20;34
17;10;20;6;19;51;13
18;37;36;56;27;42;23
19;5;25;12;10;60;24
20;25;28;30;33;51;11
21;49;46;6;53;33;36
22;9;38;56;1;31;46
23;17;52;51;59;39;37
24;1;8;14;28;33;43
25;56;50;55;54;24;43
26;50;53;57;10;58;22
27;44;33;13;51;17;20
28;60;6;22;3;24;54
29;14;56;58;8;43;3
30;38;50;7;29;15;14
31;56;19;28;48;17;45
32;43;33;14;36;5;44
33;5;33;49;17;42;39
34;15;13;57;53;40;17
35;21;57;16;23;54;4
36;13;3;51;17;29;25
37;22;6;7;52;38;60
38;55;42;10;43;45;54
39;16;37;45;52;56;12
40;3;12;46;5;47;8
41;38;26;35;39;12;47
42;24;36;19;33;7;11
43;2;58;25;6;26;17
44;47;38;18;14;29;44
45;30;7;37;55;44;53
46;32;46;1;60;24;23
47;35;17;3;48;25;56
48;47;5;34;28;2;50
49;33;7;43;35;13;55
50;57;44;21;16;58;6
51;23;24;42;25;17;47
52;58;15;59;30;38;46
53;42;13;3;46;38;16
54;5;21;9;56;18;36
;;;;;;
55;29;2;14;38;23;52
56;51;35;59;7;20;2
57;27;17;16;34;7;59
58;30;49;27;37;12;44
59;28;13;34;2;8;54
60;38;14;21;15;3;20
61;59;8;18;29;42;44
62;52;13;6;24;8;31
63;26;9;41;49;25;40
64;8;54;50;60;23;12
65;20;1;5;32;25;34
66;15;26;12;33;48;13
67;47;14;27;52;17;12
68;53;13;3;1;12;59
69;56;58;34;53;25;45
70;40;17;23;43;27;58
71;53;16;45;43;33;27
72;19;48;43;1;34;44
73;57;25;45;28;51;26
74;2;24;34;50;38;37
75;36;49;37;35;24;21
76;33;18;23;8;17;53
77;29;54;40;57;49;21
78;22;32;46;12;25;31
79;43;25;2;13;31;17
80;51;40;37;23;48;28
81;47;41;10;60;54;23
82;51;36;53;29;18;15
83;24;16;4;42;57;15
84;10;34;4;6;25;40
85;47;15;30;37;45;6
86;54;21;6;34;36;22
87;40;4;28;32;11;5
88;45;37;29;4;43;18
89;59;42;34;13;44;55
90;21;26;40;54;9;52
91;60;4;10;35;39;2
92;5;23;51;3;1;24
93;22;53;31;28;2;36
94;28;51;55;18;52;8
95;46;60;6;40;50;45
96;4;42;58;26;7;40
97;56;53;11;14;5;35
98;43;33;14;31;35;13
99;30;33;24;11;46;60
100;46;48;30;14;29;51
101;39;1;37;31;29;18
102;44;42;37;56;19;20
103;9;1;57;7;54;49
104;13;1;38;21;52;4
105;3;13;31;43;46;49
106;24;16;38;5;39;35
107;2;24;52;4;16;51
108;60;29;34;24;21;59
109;54;13;44;49;48;1
110;57;58;18;31;43;52
111;52;32;4;33;25;22
112;37;43;34;20;12;42
113;34;54;26;28;55;7
114;47;54;18;6;12;37
115;6;14;24;20;4;38
116;36;42;32;5;13;51
117;53;42;27;20;33;25
118;22;57;37;9;25;56
119;47;21;1;50;36;38
120;46;45;16;40;27;3
121;53;41;44;2;29;55
122;20;43;39;11;53;17
123;13;42;16;32;14;26
124;52;5;34;57;15;41
125;56;47;25;59;53;41
126;32;28;6;10;11;40
127;59;21;51;54;29;50
128;23;43;3;21;9;18
129;46;54;10;9;1;32
130;13;42;38;49;53;29
131;30;9;17;27;4;44
132;44;35;50;41;9;7
133;19;57;6;39;34;5
134;60;32;25;36;52;4
135;35;40;21;59;53;22
136;17;25;45;38;1;59
137;26;15;16;22;19;49
138;41;14;37;5;40;27
139;26;27;13;42;41;3
140;55;31;46;44;41;7
141;10;22;42;13;41;58
142;20;59;19;54;15;8
143;40;18;6;20;50;53
144;8;32;44;36;45;55
145;43;15;41;51;16;31
146;51;34;25;60;42;32
147;24;6;38;23;28;16
148;32;55;59;41;58;35
149;11;45;48;7;28;20
150;50;44;12;55;52;54
151;3;43;16;56;52;20
152;12;5;15;51;58;29
153;47;2;31;42;45;30
154;8;10;24;33;45;48
155;12;32;44;43;35;30
156;52;23;42;17;55;49
157;17;13;4;44;41;21
158;58;43;51;14;17;4
159;16;9;50;58;11;35
160;13;42;52;58;2;54
161;25;37;30;39;6;41
162;23;33;51;38;48;21
163;41;56;27;36;53;8
164;4;19;14;10;44;28
165;39;56;19;23;10;35
166;60;57;59;13;12;22
167;1;38;48;28;11;33
168;45;2;35;9;50;31
169;52;51;37;13;21;1
170;7;51;55;41;58;46
171;54;27;4;43;40;46
172;49;36;14;26;35;10
173;29;28;49;17;42;50
174;11;52;22;23;36;59
175;10;20;13;1;42;50
176;28;4;1;45;53;3
177;35;22;39;41;59;38
178;5;27;19;26;15;33
179;6;53;5;26;27;23
180;39;6;29;60;51;23
181;33;1;55;35;51;27
182;46;60;5;10;28;3
183;16;11;7;40;44;2
184;9;60;21;16;41;34
185;59;17;22;46;43;55
186;24;26;51;25;14;23
187;6;44;58;41;36;48
188;34;42;43;46;27;17
189;41;53;38;4;31;15
190;32;40;42;21;10;5
191;58;5;41;3;1;23
192;1;60;26;41;28;54
193;12;4;11;49;43;19
194;32;42;43;25;28;33
195;17;3;44;37;9;32
196;32;17;9;14;24;7
197;19;52;29;15;12;5
198;40;23;1;18;35;8
199;52;37;57;16;10;50
200;12;15;44;34;51;19
201;55;22;5;30;35;20
202;49;53;44;12;24;45
203;11;55;44;19;29;47
204;31;41;51;39;58;29
205;26;32;54;43;46;40
206;20;26;56;18;34;51
207;19;7;3;55;24;53
208;23;15;57;24;47;25
209;13;52;32;41;21;26
210;37;58;20;38;48;32
211;10;20;40;45;50;33
212;29;57;15;45;59;6
213;3;30;9;35;23;32
;;;;;;
;;;;;;
214;30;12;6;50;35;31
215;7;58;28;53;37;46
216;35;42;59;18;30;14
;;;;;;
;;;;;;
;;;;;;
217;27;32;3;51;49;45
218;54;40;42;17;47;12
219;26;23;49;28;42;36
220;36;53;55;13;60;14
221;54;13;58;43;50;27
222;5;48;30;55;52;19
223;28;24;22;2;58;6
224;20;16;18;7;44;21
225;21;16;4;37;2;58
226;2;50;59;38;49;1
227;37;26;27;42;11;48
228;16;40;45;59;43;13
229;39;45;11;21;33;13
230;56;44;41;40;8;53
231;16;59;27;42;44;36
232;29;19;41;22;37;59
233;45;3;24;36;7;32
;;;;;;
;;;;;;
;;;;;;
;;;;;;
234;15;45;54;25;42;41
235;29;41;55;2;31;22
236;10;52;50;57;25;60
237;36;7;45;31;56;57
238;15;9;41;13;37;42
;;;;;;
;;;;;;
;;;;;;
239;33;21;44;46;47;6
240;59;28;25;41;57;38
241;11;57;40;35;56;31
242;22;7;4;21;28;56
243;20;47;23;32;16;11
244;19;60;50;24;47;33
245;44;51;27;53;8;60
;;;;;;
;;;;;;
246;2;57;32;43;16;37
247;34;3;30;10;23;46
248;56;16;34;41;35;32
249;21;55;54;40;36;49
250;55;25;41;42;43;7
251;34;15;23;55;49;30
252;17;54;4;51;32;26
;;;;;;
253;12;11;56;44;24;37
254;4;30;56;21;22;1
255;32;44;55;19;20;16
256;21;52;34;26;2;32
257;28;5;1;34;4;19
258;12;60;54;7;55;50
259;20;43;33;13;15;58
260;43;4;60;59;6;33
261;5;54;20;56;30;16
262;53;60;48;20;58;11
263;8;50;26;9;53;43
264;5;25;31;13;1;33
;;;;;;
265;7;50;53;16;41;34
266;38;54;48;23;2;46
267;58;1;45;55;8;46
268;21;10;47;6;5;33
269;19;18;52;25;17;49
270;45;27;35;40;5;9
271;14;31;54;29;26;24
272;36;58;9;10;56;24
273;47;52;10;27;23;17
274;11;39;47;18;13;26
275;16;30;19;38;48;37
276;53;59;39;45;22;57
277;40;26;38;4;56;52
278;22;10;18;55;15;31
279;31;59;4;58;23;47
280;5;16;30;25;58;20
281;11;5;47;31;53;38
282;33;24;36;9;14;23
283;48;34;28;54;25;42
284;8;36;14;32;30;7
285;50;56;41;12;32;37
286;44;37;56;29;47;35
287;60;47;3;33;25;13
288;50;9;18;11;6;17
289;36;6;30;20;7;25
290;57;30;7;25;40;26
291;22;16;5;41;18;17
292;24;34;53;45;23;13
293;6;12;35;5;28;7
294;28;45;41;22;57;25
;;;;;;
295;24;44;7;31;12;50
296;20;51;42;3;52;46
297;20;28;41;1;33;36
298;22;34;24;23;5;60
299;7;5;2;53;33;49
300;27;57;41;38;28;24
301;58;26;49;57;48;9
302;25;40;12;60;30;41
303;7;13;30;37;47;17
304;42;7;11;34;59;41
305;11;5;27;60;38;53
306;30;19;57;41;56;47
307;26;17;13;41;16;44
308;55;25;4;11;29;39
309;39;50;25;55;11;4
310;28;14;29;2;31;32
311;32;22;24;41;30;38
312;14;30;50;41;47;23
313;14;38;53;24;16;37
314;5;32;40;58;37;34
315;50;21;43;12;28;22
316;28;51;56;6;24;43
317;27;20;48;16;30;35
318;19;53;40;3;31;20
319;12;16;23;17;19;48
320;20;53;47;50;22;27
321;11;31;32;48;49;4
322;18;11;29;44;47;56
323;31;49;54;33;26;40
324;22;8;30;15;47;25
325;4;23;3;1;21;53
;;;;;;
326;52;23;40;51;44;21
327;46;38;29;33;32;48
328;51;5;23;7;14;21
329;24;11;40;12;35;10
330;2;4;23;37;14;51
331;27;1;35;20;37;13
332;28;23;42;29;44;34
333;35;27;53;44;52;4
334;41;26;51;14;24;23
;;;;;;
335;43;33;57;23;59;7
336;2;18;54;22;30;26
337;31;52;14;54;16;4
338;48;46;9;1;36;4
339;13;16;12;5;27;50
340;10;60;42;9;33;12
341;56;23;22;43;16;5
342;29;49;54;51;16;34
343;4;6;7;24;12;41
;;;;;;
344;33;36;12;35;10;14
345;56;11;58;46;51;22
346;56;7;46;60;41;12
347;26;10;52;1;12;48
348;39;40;33;52;19;30
349;9;38;32;8;54;28
350;23;30;43;10;15;57
351;15;16;59;60;24;41
352;49;7;47;25;20;44
353;60;46;30;55;23;19
354;40;52;38;16;7;41
355;2;37;22;60;14;23
356;54;19;5;58;56;21
357;45;53;32;2;30;35
358;40;42;32;12;21;17
359;31;54;20;29;13;19
360;47;24;29;55;53;23
361;41;28;45;31;16;59
362;37;20;33;46;7;56
363;39;54;29;49;47;19
364;59;44;29;5;51;57
365;52;19;34;37;58;23
366;6;4;51;7;21;15
367;52;49;27;33;12;10
368;13;50;38;32;44;29
369;21;42;1;60;35;14
370;51;42;4;54;1;40
371;23;33;39;4;60;18
372;24;17;46;57;16;39
;;;;;;
373;31;33;24;10;5;1
374;54;2;26;5;44;16
375;51;9;42;5;58;1
376;25;13;10;43;35;48
377;46;19;3;45;12;27
378;55;45;48;41;5;38
379;41;55;24;59;33;40
380;47;22;13;30;31;57
381;9;56;46;28;10;55
382;54;38;53;31;37;34
383;48;22;53;56;50;14
384;28;50;47;24;40;52
385;22;12;24;18;5;16
;;;;;;
386;39;54;43;36;17;35
387;29;28;48;47;43;22
388;52;48;53;58;23;36
389;46;14;54;18;43;5
390;7;22;34;12;38;53
391;7;15;35;16;40;4
392;49;47;39;31;15;23
393;12;50;36;6;35;40
394;15;49;42;5;45;35
395;11;58;31;14;10;20
396;47;18;6;45;34;42
397;32;24;2;5;1;46
398;28;7;16;37;36;22
399;59;55;16;27;47;11
400;29;59;13;10;54;28
401;50;18;44;53;11;43
402;27;43;58;5;16;56
403;46;31;7;16;60;27
404;24;38;58;1;40;28
405;57;60;34;24;29;47
406;47;32;48;12;38;2
407;49;2;18;51;22;57
408;49;44;33;28;56;14
409;26;49;25;18;31;34
410;31;55;36;24;8;38
411;10;56;12;31;45;38
412;45;5;14;21;59;12
413;35;53;29;33;2;4
414;35;26;58;52;45;16
415;38;44;4;1;27;42
416;13;1;23;56;54;33
417;25;7;12;21;42;34
418;45;8;32;49;15;52
;;;;;;
419;41;42;52;53;16;9
420;43;12;59;30;57;29
421;38;45;35;37;5;51
422;60;12;56;37;55;43
423;8;22;33;40;32;53
424;29;36;27;18;59;46
425;6;16;10;34;47;42
426;7;32;54;50;30;37
427;51;13;43;24;3;14
428;60;8;32;28;46;30
429;55;32;17;36;26;43
430;50;21;10;25;38;8
431;58;26;40;37;47;52
432;50;17;13;27;4;39
433;36;17;28;16;54;30
434;24;17;4;54;30;10
435;37;11;17;31;43;10
436;1;6;57;29;48;7
437;54;10;59;44;30;7
438;38;48;14;3;11;5
439;42;13;20;29;43;57
440;46;23;30;47;5;3
441;2;15;58;10;59;21
442;15;31;23;6;59;37
443;11;36;17;26;52;48
444;48;52;57;24;3;33
445;31;50;7;53;32;20
446;11;20;8;47;12;17
;;;;;;
447;24;55;15;33;25;42
448;5;3;52;45;9;51
449;34;56;24;1;49;8
450;59;51;13;1;9;50
451;23;18;31;17;53;28
452;54;11;51;16;36;30
453;58;52;8;34;20;23
454;4;17;42;56;46;24
455;50;15;17;2;14;59
456;17;40;22;27;33;3
457;48;15;24;27;17;32
;;;;;;
;;;;;;
458;43;53;13;32;34;24
459;43;17;8;15;49;39
460;19;55;30;23;37;49
461;30;17;20;29;15;60
462;27;48;17;19;26;22
463;7;18;2;45;3;53
464;6;33;45;38;24;50
465;46;31;1;57;22;51
466;28;16;45;29;30;11
467;38;21;8;22;18;60
468;23;6;25;39;51;5
469;29;47;42;21;13;26
;;;;;;
470;51;58;23;11;8;37
471;51;59;31;5;36;32
472;12;3;38;29;51;4
473;51;7;58;49;23;41
474;34;3;12;50;32;40
475;19;6;43;52;8;22
476;38;43;20;55;17;58
477;47;34;8;6;18;38
;;;;;;
;;;;;;
478;30;8;31;3;21;25
479;20;54;58;26;41;46
480;36;38;33;14;49;41
481;42;6;24;44;22;13
;;;;;;
;;;;;;
482;13;56;12;33;53;54
483;16;23;35;18;44;59
484;53;19;38;18;17;49
485;38;28;52;30;19;57
486;50;42;19;8;30;14
487;25;22;48;52;54;8
;;;;;;
488;30;39;35;43;15;57
489;28;36;17;53;33;59
490;5;11;29;54;23;58
491;22;43;15;55;9;1
492;57;2;15;6;56;18
493;54;20;3;18;42;24
494;28;32;49;53;18;20
495;36;15;60;8;29;49
496;41;20;19;29;59;10
497;9;41;32;13;58;20
498;49;28;2;6;57;50
499;59;1;11;5;44;4
500;35;21;54;29;38;36
501;34;27;56;28;16;39
502;50;7;33;21;24;13
;;;;;;
503;10;21;48;27;49;7
504;39;19;11;8;50;30
505;47;20;52;3;46;28
506;31;37;34;15;38;4
507;44;58;5;27;33;3
;;;;;;
508;46;56;5;15;45;10
509;32;55;34;35;28;33
510;30;45;58;1;4;41
;;;;;;
511;8;36;34;37;3;4
512;8;40;58;4;53;31
;;;;;;
;;;;;;
513;46;10;27;19;33;39
514;15;52;40;36;51;42
515;39;16;57;15;45;48
516;24;5;34;13;35;33
517;51;32;8;28;38;7
518;44;8;5;15;18;10
519;9;36;15;19;42;22
520;32;34;17;35;9;12
521;28;32;38;25;15;45
522;49;52;15;25;14;6
523;45;58;40;39;28;44
524;47;29;34;48;19;41
525;26;32;24;49;8;10
;;;;;;
526;3;59;21;36;55;31
527;17;14;50;52;6;26
528;34;28;37;12;8;31
529;56;45;13;33;38;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
530;32;21;25;1;6;49
531;3;1;35;7;18;50
532;13;4;12;53;9;52
533;27;18;13;59;21;53
534;48;57;23;8;31;3
535;49;14;47;56;6;28
536;14;22;25;15;37;23
537;37;3;19;34;39;7
538;45;43;56;25;52;3
539;16;50;55;6;47;19
540;22;4;30;44;28;49
541;58;57;27;13;49;52
542;49;4;19;28;35;6
543;35;54;37;42;49;46
544;11;33;56;47;17;34
545;43;35;57;29;40;17
546;46;4;54;17;13;5
547;4;59;13;53;28;30
548;51;49;14;47;59;58
549;13;51;58;22;46;8
550;17;56;16;38;39;45
551;56;48;57;21;12;46
552;22;54;52;47;49;9
553;43;46;58;53;54;4
554;47;29;31;15;60;42
555;49;5;23;33;45;31
556;8;45;30;33;17;10
557;18;49;38;23;8;12
558;59;57;7;58;31;14
559;53;25;36;13;17;6
560;32;18;11;30;2;58
561;39;49;36;20;55;1
562;37;35;23;16;57;55
563;34;8;23;44;51;5
564;38;13;32;20;10;49
565;31;37;35;7;45;34
566;17;6;20;18;13;37
567;57;58;11;38;41;31
568;25;41;17;29;13;22
569;32;15;14;9;3;57
570;35;32;36;33;51;15
571;14;31;12;13;51;50
572;33;3;20;60;9;16
573;59;29;17;6;40;22
574;32;23;2;10;44;17
575;18;29;21;48;35;5
;;;;;;
576;18;43;52;39;7;8
577;31;47;28;23;8;24
578;48;3;58;18;56;23
579;15;34;39;17;4;9
580;38;16;18;28;15;47
581;30;25;52;14;39;17
582;13;40;29;59;45;51
583;55;6;41;20;43;7
584;30;53;23;7;32;8
585;24;39;12;33;57;36
586;45;38;13;11;54;39
587;30;2;36;18;60;29
588;45;13;46;55;53;11
589;13;7;33;59;6;8
590;25;51;5;18;4;28
591;58;3;18;50;34;1
592;55;14;59;47;13;42
593;27;29;1;59;25;49
594;10;53;55;29;13;47
595;54;2;43;1;50;25
596;43;60;28;11;54;14
597;42;40;27;22;56;29
598;5;16;53;38;50;34
;;;;;;
599;6;45;51;9;23;4
600;18;39;54;34;31;16
601;37;19;29;30;10;22
602;38;60;13;7;55;46
603;4;8;11;29;12;44
604;41;49;51;25;15;46
605;44;52;53;4;49;24
606;41;6;23;55;32;35
607;6;59;11;27;19;41
608;30;6;37;19;24;13
609;15;2;59;60;6;58
610;25;49;30;43;47;45
611;22;21;33;16;48;49
612;55;33;15;50;53;18
613;54;55;13;44;6;19
614;60;31;12;48;57;16
615;27;31;8;10;51;5
616;24;16;26;54;12;2
617;25;5;49;36;33;3
;;;;;;
618;60;10;3;8;24;13
619;16;12;46;14;8;19
620;22;1;29;13;32;3
621;29;31;50;26;57;49
622;59;27;19;29;50;38
623;42;23;55;30;9;49
624;39;23;34;52;8;43
625;59;12;32;42;24;40
626;49;8;22;18;7;39
627;19;13;45;58;56;1
628;8;16;22;56;58;30
629;40;47;39;16;51;15
630;16;53;20;60;12;45
631;1;28;47;20;44;32
632;2;54;48;51;19;28
633;27;46;5;50;11;22
634;13;41;24;42;10;56
635;49;42;37;8;20;26
636;30;32;34;50;28;26
637;52;58;43;48;11;18
638;42;10;50;41;11;36
639;51;39;35;60;45;13
640;12;42;59;46;19;60
641;17;13;33;9;1;34
642;51;17;56;36;44;40
643;14;45;24;37;40;42
644;57;29;31;27;34;14
645;52;48;24;53;54;3
646;13;47;60;32;49;10
647;56;19;11;14;12;54
648;5;48;23;42;45;29
;;;;;;
;;;;;;
649;9;54;41;48;33;24
650;53;59;25;29;10;24
651;39;45;28;26;48;60
652;24;18;57;56;10;20
653;31;24;19;34;9;5
654;10;11;56;40;41;6
655;26;39;1;37;43;48
656;59;37;46;36;35;51
657;20;59;58;33;60;16
658;41;20;36;3;11;6
659;14;29;40;34;51;52
660;53;5;38;54;46;11
661;42;40;27;4;55;36
662;4;60;56;25;18;23
663;1;49;30;55;27;51
664;12;1;55;59;38;36
665;8;47;7;48;25;18
666;7;26;16;29;45;55
667;5;23;16;4;49;1
668;49;33;56;2;14;1
669;7;41;24;40;49;27
670;42;59;58;37;48;22
671;27;16;39;51;9;38
672;43;34;53;38;28;24
673;6;40;37;11;20;34
674;22;32;18;29;42;38
675;50;42;30;25;43;24
676;49;32;15;9;41;42
677;25;10;48;8;32;55
