Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
1342;5;60;46;42;50;7
1343;51;31;42;20;56;19
1344;19;42;8;36;21;59
;;;;;;
;;;;;;
1345;50;40;26;7;19;17
1346;59;47;32;48;40;12
1347;19;45;54;56;46;9
1348;38;45;39;7;12;56
1349;9;19;20;50;60;51
1350;4;36;29;55;45;3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1351;13;50;41;36;56;33
1352;35;59;36;9;18;24
1353;47;11;3;27;32;13
1354;2;42;8;49;48;38
1355;39;49;11;24;17;46
1356;21;46;6;22;13;31
1357;55;52;26;19;1;24
1358;16;15;37;3;35;47
1359;12;17;28;53;6;10
1360;50;25;17;16;54;2
;;;;;;
1361;37;27;44;30;38;23
1362;58;19;12;22;2;36
;;;;;;
;;;;;;
1363;52;25;42;45;35;57
1364;20;13;40;10;53;44
1365;50;35;32;26;2;24
1366;59;44;54;37;27;12
1367;38;29;43;13;7;2
1368;10;26;29;38;32;21
1369;32;24;16;38;5;46
1370;2;27;59;49;4;5
;;;;;;
1371;47;11;8;49;3;4
1372;46;60;58;36;40;3
1373;52;39;7;27;55;57
1374;21;33;28;31;43;6
1375;25;28;53;45;14;58
;;;;;;
1376;53;49;21;11;54;9
1377;25;5;13;12;35;2
1378;18;17;59;2;54;5
1379;45;5;36;12;50;58
1380;52;14;3;60;57;55
1381;44;30;27;11;40;57
1382;17;27;55;13;5;16
1383;9;55;23;44;7;46
1384;56;18;31;2;30;45
;;;;;;
1385;42;37;35;27;59;36
1386;39;56;28;12;51;38
1387;43;27;18;52;50;32
1388;54;31;50;43;29;22
1389;1;44;39;16;57;28
1390;29;27;19;4;28;31
;;;;;;
1391;19;7;12;34;53;40
1392;43;8;2;28;33;12
1393;44;28;18;24;4;39
1394;11;35;16;46;24;50
1395;5;44;11;19;17;48
1396;52;48;54;58;55;29
1397;15;56;3;27;4;7
1398;42;51;14;40;32;33
1399;39;43;60;57;34;56
;;;;;;
1400;34;26;9;43;54;53
1401;12;11;54;33;48;25
1402;38;10;27;2;21;9
1403;16;39;13;26;42;20
1404;7;32;31;51;27;8
1405;14;17;32;37;39;3
1406;7;10;38;17;24;57
1407;53;42;31;43;29;18
1408;43;39;20;19;24;4
1409;50;6;47;58;26;19
1410;54;29;18;42;40;50
1411;32;44;12;8;48;46
;;;;;;
1412;6;8;37;24;45;41
1413;54;33;13;55;45;15
1414;44;49;57;37;21;46
1415;51;49;46;40;36;26
1416;49;3;19;35;22;24
;;;;;;
1417;12;56;5;52;45;59
;;;;;;
;;;;;;
;;;;;;
1418;7;8;10;27;12;56
1419;52;21;48;58;30;17
1420;45;16;18;11;36;2
1421;31;39;59;19;53;44
1422;17;44;2;5;13;39
1423;43;8;21;27;3;25
;;;;;;
;;;;;;
1424;60;38;29;3;7;15
1425;7;29;50;16;38;36
1426;24;44;6;15;18;30
1427;47;44;53;56;8;39
1428;15;55;37;34;19;7
1429;9;22;60;48;12;39
1430;19;2;30;46;22;52
1431;33;54;40;5;9;13
1432;16;24;25;45;59;42
1433;14;46;40;13;4;52
1434;3;34;58;22;18;55
;;;;;;
1435;45;47;50;52;15;4
1436;1;23;13;30;24;57
1437;48;37;26;22;38;23
1438;49;7;33;31;36;14
;;;;;;
1439;35;55;2;43;34;42
1440;6;28;56;2;36;51
1441;56;29;53;36;38;17
1442;12;20;13;49;34;30
1443;52;32;12;54;20;48
1444;2;5;55;28;27;48
1445;41;32;19;58;5;49
1446;13;32;6;51;40;24
1447;1;41;28;33;39;19
1448;25;29;36;1;56;60
1449;2;18;30;56;52;6
1450;27;45;44;26;38;31
1451;57;10;33;2;11;52
1452;50;57;58;28;2;14
1453;47;32;25;57;6;13
1454;27;52;41;29;4;48
1455;33;14;52;36;32;41
;;;;;;
;;;;;;
1456;36;6;40;14;8;26
1457;34;16;46;15;42;59
1458;2;16;4;44;33;51
1459;2;6;35;30;52;34
1460;50;52;14;4;27;38
1461;44;31;49;54;36;47
1462;5;9;25;40;38;27
1463;40;22;13;29;48;28
1464;59;2;54;32;24;50
1465;11;6;53;44;16;26
1466;4;13;51;37;6;34
1467;41;53;26;23;52;24
1468;2;20;37;19;1;10
1469;4;56;54;13;35;58
1470;2;34;51;36;38;55
;;;;;;
1471;58;33;36;40;25;10
1472;12;23;25;18;45;50
1473;60;12;57;58;33;2
1474;2;43;11;1;3;28
1475;13;12;51;37;48;44
1476;26;10;4;37;47;57
1477;50;59;56;46;3;4
1478;10;40;27;47;55;37
1479;57;21;54;48;50;60
1480;9;14;26;36;52;21
1481;40;27;55;17;28;44
1482;11;9;6;34;41;53
1483;55;53;1;35;56;39
1484;49;29;17;53;20;24
1485;30;59;27;36;4;54
1486;10;1;34;54;6;40
1487;4;17;23;28;9;53
1488;4;51;45;22;38;25
1489;48;15;24;28;1;26
1490;31;32;43;3;52;1
1491;56;6;45;60;26;50
1492;48;44;46;4;18;9
1493;30;24;12;49;7;27
;;;;;;
1494;50;28;35;24;2;14
1495;13;49;4;44;14;57
1496;28;18;41;54;14;47
1497;58;7;27;45;4;5
1498;11;46;27;49;6;40
1499;26;37;8;22;54;33
1500;57;43;18;59;10;31
1501;13;37;54;7;29;1
1502;6;43;22;52;57;51
1503;36;22;42;3;16;4
1504;41;2;42;30;12;10
1505;32;1;6;9;16;2
1506;49;34;42;18;3;14
1507;46;24;51;50;56;52
1508;58;39;18;17;35;30
;;;;;;
1509;27;51;1;46;59;6
1510;1;8;44;17;46;53
1511;8;29;31;4;17;45
1512;35;11;28;46;42;58
1513;31;57;17;56;28;58
1514;23;16;17;59;42;60
1515;59;49;13;18;4;14
1516;34;60;18;45;4;20
1517;45;38;52;17;7;56
1518;28;8;55;41;48;9
1519;6;23;56;15;5;59
1520;36;46;48;31;7;35
1521;18;30;14;11;33;39
1522;33;5;23;32;8;56
1523;25;39;44;41;31;22
1524;40;53;12;46;2;52
1525;30;46;35;54;26;2
1526;51;47;28;10;59;16
1527;32;44;42;48;16;36
1528;4;13;58;36;19;15
1529;35;17;15;34;49;11
1530;53;10;28;16;48;33
;;;;;;
1531;24;41;12;42;44;13
1532;42;2;11;23;31;44
;;;;;;
;;;;;;
1533;29;21;47;57;13;34
1534;28;12;34;29;1;48
1535;55;25;9;8;54;41
1536;18;32;29;13;50;58
1537;6;56;33;50;51;10
1538;35;52;27;53;57;23
1539;10;49;8;58;20;26
1540;54;47;27;17;3;32
1541;37;5;24;44;49;58
1542;7;12;57;11;30;39
1543;30;7;23;20;15;41
1544;30;50;45;2;35;21
1545;6;48;11;45;4;24
1546;38;44;17;60;4;53
1547;28;21;9;10;2;18
1548;44;41;42;54;47;19
1549;32;53;16;20;12;10
1550;21;56;36;9;13;27
1551;2;23;38;15;21;19
1552;7;18;26;46;39;24
1553;29;21;20;46;22;60
1554;30;52;50;49;53;32
1555;5;52;59;2;33;23
1556;7;52;11;10;1;4
1557;46;18;16;45;31;4
1558;31;42;15;7;17;54
1559;37;58;12;29;8;16
1560;30;47;53;38;20;36
;;;;;;
;;;;;;
;;;;;;
1561;28;26;54;55;23;60
1562;12;10;51;37;23;47
1563;43;36;1;20;13;6
1564;54;44;38;25;46;53
1565;43;41;37;51;18;39
1566;11;32;60;5;6;36
1567;53;38;30;2;15;48
1568;28;58;19;24;42;25
1569;42;15;18;31;5;53
1570;18;46;42;15;56;24
1571;46;60;55;32;3;29
1572;46;42;27;45;20;47
1573;7;16;36;35;38;21
1574;6;28;33;48;46;27
1575;1;5;4;45;14;56
1576;26;30;21;15;13;46
1577;25;32;11;59;51;14
1578;6;53;56;30;37;3
1579;34;25;40;51;60;49
1580;1;6;14;17;33;36
;;;;;;
1581;31;34;15;14;25;30
1582;4;17;1;48;13;38
1583;18;2;9;47;17;45
1584;27;54;28;50;22;3
1585;55;47;43;48;49;2
1586;47;58;8;43;39;46
1587;8;21;19;30;52;56
1588;36;29;23;49;32;45
;;;;;;
1589;11;41;51;5;19;4
1590;40;7;44;55;34;20
1591;4;23;55;10;38;33
1592;41;49;36;42;31;38
1593;4;17;38;9;18;21
1594;53;43;23;6;7;8
1595;59;5;42;8;46;2
;;;;;;
1596;5;12;1;7;45;10
1597;16;52;5;44;10;50
1598;36;47;42;29;53;31
1599;35;10;15;58;36;3
1600;9;46;23;32;35;57
1601;60;24;56;45;10;8
1602;8;44;40;35;22;12
1603;13;53;20;31;60;27
1604;21;40;51;27;24;2
1605;42;30;9;19;31;21
1606;54;1;15;37;46;42
1607;32;41;51;7;31;52
1608;6;43;17;5;54;59
1609;2;26;6;13;53;60
1610;36;53;35;9;1;4
1611;24;51;50;28;58;47
1612;17;51;36;6;42;13
;;;;;;
1613;31;18;4;46;44;49
1614;49;27;43;17;14;21
1615;26;20;5;44;33;31
1616;46;40;58;31;28;42
1617;23;31;47;54;3;26
;;;;;;
1618;9;51;20;24;52;43
1619;46;17;5;42;47;8
1620;57;23;38;13;34;27
1621;24;22;38;49;10;39
1622;21;7;5;53;45;4
1623;33;56;59;43;50;49
1624;32;2;27;47;58;41
1625;45;11;22;52;36;40
1626;3;52;5;43;35;14
1627;26;57;20;32;45;41
1628;38;26;60;34;29;50
1629;47;20;35;4;59;24
1630;30;43;7;44;1;54
1631;47;48;44;60;4;29
1632;18;56;27;6;24;59
1633;2;11;49;13;36;1
1634;44;9;33;10;23;51
1635;30;32;51;8;28;23
1636;33;19;52;51;35;26
1637;5;56;24;55;1;47
1638;38;2;42;58;41;1
1639;35;51;34;49;16;29
;;;;;;
1640;6;18;46;23;31;2
;;;;;;
1641;51;30;29;33;46;23
1642;47;3;43;42;60;23
1643;19;20;16;60;28;37
1644;10;16;34;13;60;22
1645;31;37;21;38;8;18
1646;34;23;41;19;40;58
1647;38;54;23;12;17;53
1648;48;18;15;22;20;16
1649;54;33;24;44;38;42
1650;23;57;29;17;60;38
1651;27;44;8;35;38;41
1652;44;28;24;57;7;26
1653;45;22;27;21;1;32
1654;50;33;42;7;58;16
1655;56;46;7;24;28;53
;;;;;;
1656;6;4;43;54;56;11
1657;10;54;37;45;14;7
1658;7;40;19;49;11;23
1659;20;33;37;49;4;10
1660;17;38;42;51;34;8
1661;16;48;43;27;58;13
1662;57;10;25;14;33;29
;;;;;;
1663;20;27;49;40;55;18
1664;48;8;21;36;23;29
1665;20;11;16;1;56;5
;;;;;;
;;;;;;
;;;;;;
1666;51;27;1;23;45;2
1667;51;24;56;7;12;44
1668;47;40;55;57;52;5
1669;29;28;31;48;45;49
1670;1;33;30;17;47;19
1671;21;31;56;55;45;27
1672;20;10;1;5;42;3
1673;35;10;47;5;24;23
1674;42;59;30;58;50;22
1675;36;3;35;56;18;34
1676;2;1;37;51;48;11
1677;52;33;15;28;51;10
;;;;;;
1678;35;52;17;19;9;11
1679;28;2;1;46;27;47
1680;37;46;47;51;23;38
1681;1;33;8;11;6;50
1682;13;39;51;37;35;7
1683;48;4;12;34;32;33
1684;9;12;31;50;18;39
1685;39;46;18;51;31;3
1686;44;37;9;55;14;46
;;;;;;
;;;;;;
1687;15;58;24;37;46;49
1688;18;23;42;56;32;30
1689;41;2;53;5;13;27
;;;;;;
1690;24;45;53;35;26;21
1691;39;45;58;10;1;24
1692;44;56;13;14;27;11
1693;19;18;38;5;21;15
1694;34;29;20;37;57;45
1695;36;43;38;24;58;44
1696;12;1;31;37;17;46
1697;8;30;23;51;53;58
1698;24;44;28;13;45;11
1699;1;10;30;33;38;6
1700;58;41;48;50;15;18
1701;9;3;18;40;32;56
1702;39;52;17;35;19;33
1703;49;3;35;39;23;26
1704;11;7;59;51;32;1
1705;50;37;51;27;29;25
1706;12;31;34;48;36;56
1707;36;27;20;7;16;52
1708;38;50;29;45;17;32
1709;30;7;47;35;19;42
1710;59;56;7;28;21;58
1711;38;22;50;45;26;39
1712;50;19;59;2;29;12
1713;3;29;10;16;23;27
;;;;;;
1714;51;2;24;52;36;8
1715;20;16;35;40;60;53
1716;25;36;2;53;42;41
1717;9;58;16;44;2;37
1718;30;53;4;31;47;32
1719;44;22;31;54;34;1
1720;49;39;18;31;57;23
1721;12;33;4;38;36;19
1722;41;39;9;49;23;58
1723;27;60;30;14;46;52
1724;27;39;37;58;60;33
1725;26;31;30;18;16;34
1726;42;54;57;3;49;10
1727;4;6;41;40;19;20
1728;28;39;8;59;42;3
1729;53;14;44;7;23;43
1730;1;24;10;17;42;51
;;;;;;
1731;59;49;43;5;27;18
1732;25;60;34;53;45;38
1733;5;9;41;14;3;46
1734;52;29;17;41;12;25
1735;46;16;33;45;34;6
1736;13;32;12;41;24;29
1737;59;5;51;42;50;8
1738;53;46;28;48;37;12
1739;34;17;9;46;10;32
1740;38;15;47;25;10;53
1741;49;18;20;32;15;48
1742;23;27;21;19;52;11
1743;34;31;29;4;10;35
1744;12;9;56;29;14;42
1745;13;47;60;18;52;9
1746;37;40;6;58;41;18
1747;53;34;59;33;48;6
;;;;;;
1748;2;53;13;49;10;41
1749;33;13;14;3;43;29
1750;17;41;48;15;20;31
1751;42;22;51;23;57;15
1752;36;53;55;37;60;9
1753;54;8;45;29;35;15
1754;20;31;40;30;27;53
1755;48;5;30;18;8;2
1756;28;13;6;14;45;35
1757;43;13;28;56;37;25
1758;6;23;16;11;42;36
1759;2;14;21;60;22;51
1760;25;10;24;47;48;36
1761;53;36;10;9;50;55
1762;45;59;42;55;32;26
1763;21;9;15;36;12;31
1764;6;7;41;39;29;55
1765;1;28;56;37;6;58
1766;60;23;22;46;53;41
1767;44;26;39;35;16;45
1768;35;11;7;50;34;5
1769;32;44;54;60;47;37
1770;34;30;41;11;27;26
1771;38;2;27;28;32;20
1772;27;39;19;41;12;45
;;;;;;
1773;45;41;39;30;15;59
1774;1;52;30;60;20;12
1775;31;2;51;42;18;56
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1776;39;11;48;14;19;10
1777;55;4;44;38;19;52
1778;4;38;48;10;45;40
1779;25;56;30;12;39;57
1780;20;6;33;22;31;34
1781;22;8;52;1;53;49
;;;;;;
1782;34;57;47;18;6;52
1783;38;16;21;4;18;6
1784;30;15;54;55;26;4
1785;27;5;42;54;41;11
1786;34;8;2;21;25;6
1787;1;29;13;25;5;26
;;;;;;
1788;42;45;56;13;3;59
1789;57;59;6;25;43;58
1790;28;13;11;26;50;27
1791;55;12;50;18;53;46
1792;47;41;18;17;2;16
1793;56;13;22;54;14;58
1794;1;5;37;60;34;40
1795;55;50;42;58;47;30
1796;54;22;48;34;23;53
1797;2;57;35;13;54;14
1798;9;28;45;2;23;53
1799;53;1;3;4;51;39
1800;31;56;16;6;11;19
1801;19;45;43;6;54;34
1802;6;14;2;17;44;13
1803;4;29;8;49;38;50
1804;20;50;48;59;28;21
1805;17;49;27;22;57;31
1806;11;42;55;58;35;20
1807;43;15;22;1;16;25
1808;20;25;45;2;41;14
1809;23;12;54;46;9;24
1810;56;10;43;50;1;25
1811;32;37;5;35;17;57
1812;45;34;23;20;37;32
1813;51;9;13;15;19;11
1814;53;51;27;11;46;9
1815;60;8;25;39;41;11
;;;;;;
;;;;;;
1816;12;10;46;28;22;5
1817;47;1;26;55;39;4
1818;10;53;15;2;6;56
1819;37;26;18;30;33;17
1820;27;19;23;3;45;40
1821;53;31;19;52;36;22
;;;;;;
1822;22;53;26;1;43;50
1823;54;34;59;21;9;4
1824;19;30;60;12;6;5
1825;21;54;10;50;51;11
1826;43;48;32;19;17;51
1827;43;33;53;26;54;42
1828;40;32;11;6;59;48
1829;53;32;30;7;24;13
1830;29;3;54;7;37;60
1831;55;15;48;32;28;27
1832;34;47;57;56;14;46
1833;2;42;3;27;16;7
1834;2;22;51;24;48;17
1835;50;36;8;28;47;58
1836;59;18;45;60;8;15
1837;41;48;57;50;44;54
1838;59;24;30;8;57;5
1839;28;32;22;56;58;7
1840;33;41;48;15;17;47
1841;6;51;13;38;49;3
1842;18;43;22;24;16;34
1843;28;26;33;41;8;54
1844;4;3;37;39;48;50
1845;9;3;29;13;30;51
1846;49;26;30;34;24;6
1847;45;1;57;49;50;6
1848;58;41;50;40;9;55
1849;35;27;3;11;44;5
1850;24;32;23;40;41;38
1851;35;22;8;37;21;18
1852;29;13;49;50;45;17
1853;2;41;39;1;34;45
1854;59;30;43;31;34;25
1855;6;38;24;39;15;10
1856;14;9;2;32;22;37
1857;53;35;52;25;23;13
1858;55;30;28;59;33;22
1859;13;26;1;21;14;51
1860;10;40;30;44;36;60
1861;45;9;60;2;35;4
1862;8;49;35;42;56;2
;;;;;;
1863;23;45;16;58;59;56
1864;5;4;37;40;60;14
1865;42;5;32;37;1;31
1866;14;36;60;38;17;44
1867;3;43;21;17;22;10
1868;25;5;31;1;28;23
1869;11;26;24;52;40;23
1870;30;40;33;18;20;32
1871;17;58;33;52;11;3
1872;39;11;56;46;13;25
1873;25;5;53;28;41;54
1874;43;28;10;37;47;44
1875;53;45;47;1;52;55
1876;7;18;51;41;44;39
1877;35;13;32;16;24;23
1878;56;26;40;16;57;12
1879;20;58;10;59;57;5
1880;19;51;56;16;5;37
1881;30;10;53;44;3;56
1882;41;35;37;10;19;9
1883;28;59;16;47;27;60
1884;38;1;32;4;23;59
1885;59;7;18;23;32;14
1886;7;40;54;15;3;45
1887;23;56;41;46;34;11
1888;48;1;18;45;17;10
;;;;;;
1889;30;25;23;44;28;16
1890;5;24;51;22;11;53
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1891;47;1;3;19;23;58
1892;50;22;6;37;30;17
1893;17;58;45;19;28;16
1894;31;35;57;54;21;53
1895;3;5;2;34;10;15
1896;25;6;14;21;3;15
1897;52;9;58;47;22;25
1898;53;12;58;55;34;45
1899;48;35;44;23;36;20
1900;46;11;8;43;28;27
1901;30;53;26;11;37;12
1902;25;18;2;21;9;7
;;;;;;
;;;;;;
1903;9;43;10;15;45;28
1904;21;18;56;15;51;12
1905;43;54;29;57;35;56
1906;27;40;33;6;39;60
1907;3;48;44;35;25;38
1908;10;27;57;13;23;4
1909;47;43;45;40;57;11
1910;9;6;39;15;22;48
1911;32;16;33;23;18;30
1912;42;10;33;36;13;35
1913;14;56;52;17;4;43
1914;39;33;29;16;44;42
1915;57;21;2;33;20;48
1916;3;50;18;23;9;52
1917;4;36;25;21;46;33
1918;22;17;50;38;20;16
1919;60;28;54;37;45;11
1920;39;45;31;25;43;33
1921;19;10;16;15;28;35
1922;20;41;22;36;43;38
1923;46;34;59;45;9;42
1924;16;52;53;58;30;12
1925;47;43;38;1;17;45
1926;46;3;2;30;14;20
1927;11;5;30;31;13;19
1928;28;51;59;26;53;10
1929;10;52;23;36;3;43
1930;17;56;37;52;18;4
1931;34;8;2;15;9;22
1932;55;21;16;44;29;10
1933;15;19;35;59;14;2
1934;56;39;35;8;23;59
1935;24;17;10;1;3;23
;;;;;;
;;;;;;
1936;51;40;52;24;12;3
1937;10;29;24;43;6;55
1938;10;54;42;16;40;32
1939;39;29;24;52;7;45
1940;36;16;9;47;13;17
1941;38;1;9;48;49;24
1942;48;20;43;18;6;24
1943;43;11;39;9;30;12
1944;8;57;47;39;9;59
1945;8;54;21;10;45;4
1946;6;39;4;44;52;60
1947;52;59;55;40;8;33
1948;28;33;20;24;57;12
1949;30;1;14;56;22;6
1950;32;21;10;48;34;57
1951;55;14;16;21;33;19
1952;9;21;53;36;52;38
1953;45;29;42;9;43;26
1954;40;9;49;25;35;33
1955;15;41;45;33;36;27
1956;20;40;28;5;8;45
1957;23;47;29;2;14;22
1958;55;34;22;20;24;15
1959;56;43;21;8;27;35
1960;43;39;18;25;37;1
1961;50;30;25;17;32;26
1962;39;5;6;53;15;25
1963;34;60;5;4;7;42
1964;32;27;48;36;2;50
1965;28;26;55;38;48;35
1966;19;10;32;60;13;40
1967;32;39;13;54;30;46
1968;35;48;44;39;36;52
1969;30;59;20;32;8;48
1970;10;18;24;5;39;52
1971;54;10;52;41;44;4
1972;20;9;59;54;16;57
1973;17;16;60;12;52;1
1974;19;57;38;54;4;27
1975;8;24;47;26;11;57
1976;52;14;19;12;59;25
1977;28;3;32;34;37;16
1978;6;2;57;22;55;44
1979;38;23;45;32;29;22
1980;18;16;12;34;37;17
1981;15;6;39;19;37;53
1982;46;24;20;4;50;14
1983;14;22;6;5;10;36
1984;43;32;21;50;35;29
